"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","response","stimulus","device_id","estimated_stimulus_onset","stim_id"
"true","false","[]","[]","[]","preload","0","3","0.0-0.0","{""Q0"":""full_send""}","","","","","",""
"","","","","","survey-text","1","13106","0.0-1.0","{""Q0"":""full_send""}","13101","{""Q0"":""full_send""}","","","",""
"","","","","","html-button-response","2","14353","0.0-2.0","{""Q0"":""full_send""}","1244","0","Please connect your microphone to the computer. <br> We recommend using a pair of headphones with a microphone. <br>Once you have connected your microphone & headphones to the computer, click this button to prompt browser access to your microphone","","",""
"","","","","","initialize-microphone","3","15405","0.0-3.0","{""Q0"":""full_send""}","","","","9f2bac749520c7f3fcaa19c6114380d73df3e32131583163a6b0817bf87d0a9f","",""
"","","","","","html-button-response","4","16212","0.0-4.0","{""Q0"":""full_send""}","807","0","Let's make sure the test can hear you. Please click the button below and speak into your microphone. <br> You will be able to review your recording afterwards. <br> Please do not continue the test until you are able to hear a recording of yourself played back to you.","","",""
"","","","","","html-audio-response","5","23692","0.0-5.0","{""Q0"":""full_send""}","2798","sanitized","RECORDING...","","1",""
"","","","","","html-button-response","6","24373","0.0-6.0","{""Q0"":""full_send""}","681","0","Thank you. You have indicated that you are able to hear the recording played back to you. <br> Press the button to continue the test.","","",""
"","","","","","html-button-response","7","24971","0.0-7.0","{""Q0"":""full_send""}","598","0","This test requires you to participate in some short back-and-forth conversations. You will first hear a speaker say something, and then you will record your response. You will then hear the speaker reply, and you will then record your response. The test will start recording you as soon as you click the ""record response"" button. You will only hear the audio once.","","",""
"","","","","","html-button-response","8","25632","0.0-8.0-0.0","{""Q0"":""full_send""}","659","0","You are about to begin a NEW conversation.","","",""
"","","","","","html-button-response","9","26292","0.0-8.0-1.0","{""Q0"":""full_send""}","660","0","","","",""
"","","","","","audio-keyboard-response","10","29065","0.0-8.0-2.0","{""Q0"":""full_send""}","null","null","audio/fiona1.mp3","","","fiona"
"","","","","","html-button-response","11","30373","0.0-8.0-3.0","{""Q0"":""full_send""}","1307","0","","","",""
"","","","","","html-audio-response","12","31973","0.0-8.0-4.0","{""Q0"":""full_send""}","1538","full_send_fiona1.mp3_1659301921878","RECORDING...","","1",""
"","","","","","html-button-response","13","33132","0.0-8.0-5.0","{""Q0"":""full_send""}","1156","0","","","",""
"","","","","","audio-keyboard-response","14","37432","0.0-8.0-6.0","{""Q0"":""full_send""}","null","null","audio/fiona2.mp3","","","fiona"
"","","","","","html-button-response","15","38561","0.0-8.0-7.0","{""Q0"":""full_send""}","1129","0","","","",""
"","","","","","html-audio-response","16","41062","0.0-8.0-8.0","{""Q0"":""full_send""}","2447","full_send_fiona2.mp3_1659301930968","RECORDING...","","1",""
"","","","","","html-button-response","17","42701","0.0-8.0-9.0","{""Q0"":""full_send""}","1636","0","","","",""
"","","","","","audio-keyboard-response","18","46040","0.0-8.0-10.0","{""Q0"":""full_send""}","null","null","audio/fiona3.mp3","","","fiona"
"","","","","","html-button-response","19","46991","0.0-8.0-11.0","{""Q0"":""full_send""}","951","0","","","",""
"","","","","","html-audio-response","20","48402","0.0-8.0-12.0","{""Q0"":""full_send""}","1357","full_send_fiona3.mp3_1659301938307","RECORDING...","","1",""
"","","","","","html-keyboard-response","21","50905","0.0-8.0-13.0","{""Q0"":""full_send""}","null","null","LOADING NEXT ITEM...","","",""
"","","","","","html-button-response","22","51762","0.0-8.0-0.1","{""Q0"":""full_send""}","857","0","You are about to begin a NEW conversation.","","",""
"","","","","","html-button-response","23","52362","0.0-8.0-1.1","{""Q0"":""full_send""}","600","0","","","",""
"","","","","","audio-keyboard-response","24","53800","0.0-8.0-2.1","{""Q0"":""full_send""}","null","null","audio/torin1.mp3","","","torin"
"","","","","","html-button-response","25","55401","0.0-8.0-3.1","{""Q0"":""full_send""}","1600","0","","","",""
"","","","","","html-audio-response","26","56812","0.0-8.0-4.1","{""Q0"":""full_send""}","1357","full_send_torin1.mp3_1659301946718","RECORDING...","","1",""
"","","","","","html-button-response","27","57321","0.0-8.0-5.1","{""Q0"":""full_send""}","507","0","","","",""
"","","","","","audio-keyboard-response","28","60648","0.0-8.0-6.1","{""Q0"":""full_send""}","null","null","audio/torin2.mp3","","","torin"
"","","","","","html-button-response","29","61161","0.0-8.0-7.1","{""Q0"":""full_send""}","512","0","","","",""
"","","","","","html-audio-response","30","63463","0.0-8.0-8.1","{""Q0"":""full_send""}","2240","full_send_torin2.mp3_1659301953368","RECORDING...","","8",""
"","","","","","html-button-response","31","64031","0.0-8.0-9.1","{""Q0"":""full_send""}","567","0","","","",""
"","","","","","audio-keyboard-response","32","66504","0.0-8.0-10.1","{""Q0"":""full_send""}","null","null","audio/torin3.mp3","","","torin"
"","","","","","html-button-response","33","67241","0.0-8.0-11.1","{""Q0"":""full_send""}","736","0","","","",""
"","","","","","html-audio-response","34","68983","0.0-8.0-12.1","{""Q0"":""full_send""}","1687","full_send_torin3.mp3_1659301958888","RECORDING...","","1",""
"","","","","","html-keyboard-response","35","71490","0.0-8.0-13.1","{""Q0"":""full_send""}","null","null","LOADING NEXT ITEM...","","",""
"","","","","","html-keyboard-response","36","72741","0.0-9.0","{""Q0"":""full_send""}","1251"," ","Press the spacebar to end the test","","",""
